糖 B-DRUG_DOSAGE
衣 M-DRUG_DOSAGE
片 E-DRUG_DOSAGE
（ 0
片 0
芯 0
重 0
0 0
. 0
3 0
g 0
） 0
口 0
服 0
。 0
一 0
次 0
6 0
- 0
8 0
片 0
， 0
一 0
日 0
2 0
次 0
。 0
孕 B-PERSON_GROUP
妇 E-PERSON_GROUP
慎 0
用 0
。 0
疏 B-DRUG_EFFICACY
肝 M-DRUG_EFFICACY
健 M-DRUG_EFFICACY
脾 E-DRUG_EFFICACY
， 0
解 B-DRUG_EFFICACY
郁 M-DRUG_EFFICACY
清 M-DRUG_EFFICACY
热 E-DRUG_EFFICACY
， 0
养 0
血 0
调 0
经 0
。 0
用 0
于 0
肝 B-SYNDROME
郁 M-SYNDROME
脾 M-SYNDROME
弱 E-SYNDROME
， 0
血 B-SYNDROME
虚 E-SYNDROME
发 B-SYMPTOM
热 E-SYMPTOM
， 0
两 B-SYMPTOM
胁 M-SYMPTOM
作 M-SYMPTOM
痛 E-SYMPTOM
， 0
头 B-SYMPTOM
晕 E-SYMPTOM
目 B-SYMPTOM
眩 E-SYMPTOM
， 0
月 B-SYMPTOM
经 M-SYMPTOM
不 M-SYMPTOM
调 E-SYMPTOM
尚 0
不 0
明 0
确 0
。 0
四 0
川 0
宝 0
兴 0
制 0
药 0
有 0
限 0
公 0
司 0
